_id,product,user,author,content,check,isReply,deleted,createDate,__v,replies[0],replies[1],replies[2]
66753716490bd2a59bdd3945,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,false,21/06/2024 15:17:26,0,,,
6675371b490bd2a59bdd394d,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,false,21/06/2024 15:17:31,0,,,
66753720490bd2a59bdd3955,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,false,21/06/2024 15:17:36,0,,,
66753725490bd2a59bdd395d,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,false,21/06/2024 15:17:41,0,,,
66753729490bd2a59bdd3965,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,true,21/06/2024 15:17:45,0,,,
667541f2490bd2a59bdd476b,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôiTận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi\n\n\n,true,false,false,21/06/2024 16:03:46,0,,,
66754808490bd2a59bdd4944,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi,true,false,false,21/06/2024 16:29:44,0,,,
66754819490bd2a59bdd494e,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi Tận hưởng sự đột phá với DidongGenz - Hành trình vượt bậc vào thế giới công nghệ di động của chúng tôi ,true,false,true,21/06/2024 16:30:01,0,,,
66754d1e490bd2a59bdd4b07,66277f23aa4178073b256740,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,comment,true,false,true,21/06/2024 16:51:26,0,,,
6676fc431179a550c4c9e286,66277abdaa4178073b2565e0,664770ea4f2a06a02e610a9b,Nguyễn Duy Nguyễn,Quang duong ne,true,false,true,22/06/2024 23:30:59,0,,,
